Gender,Married,Education,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
Male,Yes,Graduate,14500,350,1,Y
Female,No,Not Graduate,7200,150,0,N
Male,Yes,Graduate,9800,280,1,Y
Female,No,Graduate,5300,200,1,Y
Male,Yes,Not Graduate,6200,100,1,N
Female,Yes,Graduate,15500,400,1,Y
Male,No,Graduate,11000,300,0,N
Female,Yes,Not Graduate,4300,180,1,Y
Male,Yes,Graduate,8400,250,1,Y
Female,No,Not Graduate,3900,140,0,N
Male,Yes,Graduate,16000,500,1,Y
Female,Yes,Graduate,7200,210,1,Y
Male,No,Graduate,9200,270,1,Y
Female,No,Not Graduate,4700,160,0,N
Male,Yes,Graduate,13000,350,1,Y
Female,No,Graduate,6000,190,1,Y
Male,Yes,Graduate,15000,430,1,Y
Female,Yes,Graduate,6800,230,1,Y
Male,No,Not Graduate,5400,120,0,N
Female,Yes,Graduate,14000,370,1,Y
Male,No,Graduate,8800,260,1,Y
Female,No,Not Graduate,4500,130,0,N
Male,Yes,Graduate,13500,360,1,Y
Female,Yes,Graduate,7200,200,1,Y
Male,No,Graduate,9700,280,1,Y
Female,No,Not Graduate,4200,150,0,N
Male,Yes,Graduate,14500,390,1,Y
Female,Yes,Graduate,6800,220,1,Y
Male,No,Graduate,8400,240,1,Y
Female,No,Not Graduate,4800,170,0,N
Male,Yes,Graduate,15500,410,1,Y
Female,Yes,Graduate,6900,210,1,Y
Male,No,Graduate,9300,280,1,Y
Female,No,Not Graduate,4600,150,0,N
Male,Yes,Graduate,14000,370,1,Y
Female,No,Graduate,7300,190,1,Y
Male,No,Graduate,9100,260,1,Y
Female,Yes,Graduate,5100,180,1,Y
Male,Yes,Graduate,12000,320,1,Y
Female,No,Not Graduate,4300,140,0,N
Male,No,Graduate,9000,270,1,Y
Female,Yes,Graduate,6800,200,1,Y
Male,Yes,Graduate,15000,400,1,Y
Female,No,Not Graduate,4900,160,0,N
Male,Yes,Graduate,13000,360,1,Y
Female,Yes,Graduate,7200,210,1,Y
Male,No,Graduate,8800,250,1,Y
Female,No,Not Graduate,4700,140,0,N
Male,Yes,Graduate,14500,390,1,Y
Female,Yes,Graduate,7000,220,1,Y
Male,No,Graduate,9200,270,1,Y
Female,No,Not Graduate,4600,160,0,N
Male,Yes,Graduate,13500,360,1,Y
Female,Yes,Graduate,6900,210,1,Y
Male,No,Graduate,9000,260,1,Y
Female,No,Not Graduate,4800,150,0,N
Male,Yes,Graduate,15000,400,1,Y
Female,Yes,Graduate,7000,220,1,Y
Male,No,Graduate,9500,280,1,Y
Female,No,Not Graduate,4600,150,0,N
Male,Yes,Graduate,14000,370,1,Y
Female,No,Graduate,7200,190,1,Y
Male,No,Graduate,9100,260,1,Y
Female,Yes,Graduate,5200,180,1,Y
